"id","name","album_type","total_tracks","release_date","popularity","external_urls","id_artists","id_tracks"
"704GHNtZhEe9TBgleCNNGv","Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)","single","1","2016-06-24","71","https://open.spotify.com/album/704GHNtZhEe9TBgleCNNGv","55Aa2cqylxrFIXC767Z865","4dASQiO1Eoo3RJvt74FtXB"
"01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","album","17","2017-06-02","83","https://open.spotify.com/album/01sfgrNbnnPUEyz6GZYlt9","6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we 6M2wZ9GZgrQXHCFfjv46we","4P76CEIXrrWT2cgS1YrTMr 2OWKDTonST8HNko3dBlPPp 5eTNdkstwKaNahHf41fJ9u 7FCfMXYTIiQ9b4hDYs4Iol 76cy1WJvNGJTj78UqeA5zr 2eAAEa8pxKF7My0EO4rFgR 1mxaufUe16G9wOoG9ptUqr 0mDGNetRxywxqgiXFbagZh 0gtSPYz0OHoF7k09Auq1uC 2ekn2ttSfGqwhhate0LSR0 4wNQAG2BzbVkLhdajjxGpR 5E5MqaS6eOsbaJibl3YeMZ 2qxagPKgS2Wc05MLmJucBE 4isCUHcZJs0o8niODly6qc 2qES7NEo0DCDvi707VS3HC 0LwbO2KIQw1uR2FCqwaKAu 1oXHXIB8rHgwHSsPRNjEzn"
"5DvJgsMLbaR1HmAI6VhfcQ","Endless Summer Vacation","album","14","2023-08-18","90","https://open.spotify.com/album/5DvJgsMLbaR1HmAI6VhfcQ","5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6 5YGY8feqx7naU7z4HrwZM6","7DSAEUvxU8FajXtRloy8M0 0LbZLBBZI1NfaDgb4dx0UD 1nSfvLVhsozMHS7rCF1BTi 41WQUSINanQHfhfKpFDsms 3DoSolxGSDoV7G7MtcIPiZ 3LNRi4UytUnez6T0hFb4x3 6eiNVtWCRsU7N6JDPXFI2W 1yampU2t2LNWzEsCpUgHYJ 4C2Y3Y2x2PbOqwdNBuLjP3 6QSR2OrZOICOXfFB5Wswt1 0Gb6pfKdfoQ17jUqx1Yohc 4LRxmh62YHxSHL4hGLq0ln 1sHRnn8zuTMusee3ahseXC 1ZJwhLQLt2quexYKP2Q3gk"
"0TjgUvNEDN2PegfZVkoggi","TY.O (International Version)","album","11","2011-01-01","68","https://open.spotify.com/album/0TjgUvNEDN2PegfZVkoggi","6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 1Cs0zKBU1kc0i8ypK3B9ai","5pmL3RzOy3IvGFaSDi4hZL 60Qa4MfNC1dgVfuDF6rgMS 5g2lGWu4HTnNsSfo2Bruzr 0lDKFNICklCakXQibsADpK 3v6FtXE6M4JuKo9zeuprb8 79xJXZeudmfMq4ay9yCFGd 6n1kUdwc699rJD3A7sBKqb 1Zy86iStgYViyKefN5cdkx 4E8dV8dmrt8bz6sTV6tKF6 2B7H7kF5MGyINESqYca5Uy 3BeosY2EiiqQP0vvMmxkpJ"
"0ubDm7S0h9Yzt0CvwmOhGf","Rokstarr","album","12","2010-01-01","58","https://open.spotify.com/album/0ubDm7S0h9Yzt0CvwmOhGf","6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC 6MF9fzBmfXghAz953czmBC","2srTtSrzY4n10C7abVTrBm 0WyrV2BjeXmQjlHHdfV9nJ 4QVgUuhFNNVQpehXpZlnA2 7jIpvq0cPOPR6QpIgeEkHG 27MY9aJ8Oyw6S9GFfiSAGG 5IPXBN9aCXcLnVG0BjstpK 0e7vaVCoyr3msfhpFeUyUQ 4jlySewVFl772WGuXXqzsp 3L3WJxPG8JyMdydwoTLVBq 2vvNLCxH4ZYBiM37fi7ANi 5gbgLUdiMqzoMm80IcXn6p 54VE4GdJp4Hi7dG9H1IGSn"
"2vBLKFrI1rZqB7VtGxcsR5","R.O.O.T.S. (Route of Overcoming the Struggle)","album","13","2009-03-30","73","https://open.spotify.com/album/2vBLKFrI1rZqB7VtGxcsR5","0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY 0jnsk9HBra6NMjO2oANoPY","3wkGvKJrflcCjsg6AuniE0 4uGucgzv0ydi35DgAlsTQ4 4CSkyL3zT24LfdBjjsWqP6 0xwWgANkivEPqyPBiYXbzi 3GpbwCm3YxiWDvy29Uo3vP 4Z1Gs74P3P3E2OOIPB9IvJ 7maTLYdnHDNsq3bB1tu2nH 3ZwDD6EmFh8mfigsKGjwqU 67tGlNPILmf9IWwN5d2kNK 3cy48tEryPWPY4SP9RVcBV 1lJJpKzNxRPO4Y1XYeg9xd 4shgvM4ClrZeDiflNJwlGd 2C29ebkVQrHv9LTnGPyy2F"
"6VN62DL9qSYG53VGXfohOn","Body Moving (Riordan Remix)","single","2","2024-01-05","57","https://open.spotify.com/album/6VN62DL9qSYG53VGXfohOn","4XC335ouK6pXyq4QiIb8bP 4XC335ouK6pXyq4QiIb8bP","1j1gU6llk8Nqv3Kga9WBi7 6NgxIGZZIRndktyj6O23M7"
"0dNt3MfPrvj6mHmajSuahw","New Eyes","album","16","2014-06-02","70","https://open.spotify.com/album/0dNt3MfPrvj6mHmajSuahw","6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM 6MDME20pz9RveH9rEXvrOM","2YSI2ZU7K0JihIzhEZNjBI 1NAa5SLZgH2tXhQLWeXUUL 7qtxpp3xkyRQ9nUhuNh1kn 61dCUoMCg28qEBzrW6htYM 6qNBaEdRbIk895IlQusqzv 5WX8mqlPovtMHXCsHGioPn 20TSfEQ5jybKGxMTvFchJr 3raf5q4OxpJyxifTzG2twJ 4Z8rHb7aF8Xd2JIV1x36si 2HssecL0juw7KDDsPusUiw 3lHLjAIId4Vl27OY49pkJE 1NkLUXGJAgt5gDg6VdKC5U 2FPRXR0z3syptIYtz0vM8Q 2Vu3PpbpaBB5nAThPQstKL 3utsJdhRUrJA8avrOawi8D 7aJyMyhYppupv3lDyuk3WE"
"7lPoGKpCGgdKFAxpudhAH5","Speak Your Mind (Deluxe)","album","18","2018-04-27","78","https://open.spotify.com/album/7lPoGKpCGgdKFAxpudhAH5","1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 64KEffDW9EtZ1y2vBYgq8T 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 1zNqDE7qDGCsyzJwohVaoX 6MDME20pz9RveH9rEXvrOM 1Cs0zKBU1kc0i8ypK3B9ai","3xtdJnI5fEMtNB6nDqvwyy 01BC4Xj5tfsfV8DLDrma7q 572xshmOviSGH70oPYMCZV 6xVr2J3X0zhEJQz5L0QNAP 4iiOb1mdmh0PCYI4BZYUU9 7zRObPOHA0tWMYTAxLudmA 6IQCmIGaOxzjNNcwScETVD 11z8f8BH1WdIlFI9TNQ9mc 1s3lN9mJhWzhNIw28SQTuf 2BgEsaKNfHUdlh97KmvFyo 6jrjTqvniDSdk0jQPrdPIu 4hGBLGIu8Gbqs6C0gqVEb1 7v3wcfESfRKICfvNFnyn0T 5wXJJlUlG8ebhGulA7rroU 4OU3hjKf1mQvkY9YPqXlE4 2UMvrzK3hCP7ftLDHLO9G8 3fvY2U1AzW0diYF0hnBbKt 01u9H9ZBX0nFWEw1FLnulL"
"1SrvubPy1Dg2BWJyTMcmgr","Prayer","album","20","2014-09-16","68","https://open.spotify.com/album/1SrvubPy1Dg2BWJyTMcmgr","50OApTJurDusIo9dGTqSU4 3t5xRXzsuZmMDkQzgOX35S 3t5xRXzsuZmMDkQzgOX35S 6oBm8HB0yfrIc9IHbxs6in 6MDME20pz9RveH9rEXvrOM 2vDXLZ9mI3CdTPPIzFUKlY 3t5xRXzsuZmMDkQzgOX35S 24BPgqZQVZlbduy3mHRUug 3t5xRXzsuZmMDkQzgOX35S 38QgRkXw5Wm0RUrkFSh2z7 33W1pnW9zScZtYTnAoWnOT 3t5xRXzsuZmMDkQzgOX35S 3t5xRXzsuZmMDkQzgOX35S 1V7BhnZpY3khae9xpS1LfV 6WqAx7kpPz11g54zvpcOuU 7AIhFHkc00F054w0fFEFWj 6HUm6AHJE0oisACMN6NNJ5 4gzpq5DPGxSnKTe4SA8HAU 5nuJOwgBqKBIWyCr0dQgEH 5OReTeTBZ578sj07hDS0x7","0uVyZywUNOp6S0dU5r8TS8 2LkUiZy08G0PAOzvRQ3oxY 4zLBcDtvYNVtF9fnG6lme3 04JbHAAn3uqbfnx6ptFyaK 7g8WkymC8xQ4vb8IpIoJh3 177UT0UJDGtptvvVI3JuBP 4Atf7gJg04A3twXl6iyGOp 3BfbFN1uQYyafJo7JMlLa7 0Te3kI7DJgVgWJY77MVTH5 285LtveEY73LaPWzmU9l85 1g1fMz4uglH73sVEu1bjBW 3Y2zfWrBJL9n9LHH7MUdRD 7LmWSLtqetm0vQBs7uzigD 7lsl5MxtM81E3vGYfLDDCf 3VDGRzMX1itW0PjJwRhV1P 0KAITbFoKyV6JkvgxpWz56 1iAvxtvK3GOwgCtaMLqxHL 57gkpm9dZdFfp1xoBvcZTx 51l65bYkpzuZ6cXVAO1XAB 39ZOUggjus9HEE4b1NL1nx"
