"id","name","genres","popularity","external_urls"
"7lMgpN1tEBQKpRoUMKB8iw","Black M","french pop,pop urbaine,rap conscient","53","https://open.spotify.com/artist/7lMgpN1tEBQKpRoUMKB8iw"
"04gDigrS5kc9YWfZHwBETP","Maroon 5","pop","84","https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP"
"137W8MRPWKqSmrBGDBFSop","Wiz Khalifa","hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap","80","https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop"
"67hb7towEyKvt5Z8Bx306c","Empire of the Sun","australian dance,australian electropop,dance rock,indietronica,neo-synthpop","74","https://open.spotify.com/artist/67hb7towEyKvt5Z8Bx306c"
"55Aa2cqylxrFIXC767Z865","Lil Wayne","hip hop,new orleans rap,pop rap,rap,trap","85","https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865"
"3TVXtAsR1Inumwj472S9r4","Drake","canadian hip hop,canadian pop,hip hop,pop rap,rap","96","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4"
"6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","dance pop,pop,uk pop","87","https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we"
"5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","pop","83","https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6"
"6MF9fzBmfXghAz953czmBC","Taio Cruz","dance pop,pop,pop rap","68","https://open.spotify.com/artist/6MF9fzBmfXghAz953czmBC"
"0jnsk9HBra6NMjO2oANoPY","Flo Rida","dance pop,miami hip hop,pop,pop rap","78","https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY"
"5pKCCKE2ajJHZ9KAiaK11H","Rihanna","barbadian pop,pop,urban contemporary","89","https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H"
"7CajNmpbOovFoOoasH2HaY","Calvin Harris","dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance","84","https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY"
"2wY79sveU1sp5g7SokKOiI","Sam Smith","pop,uk pop","83","https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI"
"0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","indietronica,metropopolis,pop,uk pop","78","https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ"
"6MDME20pz9RveH9rEXvrOM","Clean Bandit","pop,uk dance,uk funky","73","https://open.spotify.com/artist/6MDME20pz9RveH9rEXvrOM"
"1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","pop,scandipop,swedish electropop,swedish pop","77","https://open.spotify.com/artist/1Xylc3o4UrD53lo9CvFvVg"
"0FEJqmeLRzsXj8hgcZaAyB","Indila","french pop","68","https://open.spotify.com/artist/0FEJqmeLRzsXj8hgcZaAyB"
"4AK6F7OLvEQ5QYCBNiQWHq","One Direction","boy band,pop,post-teen pop,talent show","83","https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq"
"0du5cEVh5yTK9QJze8zA0C","Bruno Mars","dance pop,pop","88","https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C"
"6jJ0s89eD6GaHleKKya26X","Katy Perry","pop","84","https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X"
"06HL4z0CvFAxyc27GXpf02","Taylor Swift","pop","100","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02"
"6vWDO969PvNqNYHIOW5v0m","Beyoncé","pop,r&b","85","https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m"
