"id","name","popularity","explicit","external_urls","id_album","id_artists"
"7ouMYWpwJ422jRcDASZB7P","Knights of Cydonia","70","false","https://open.spotify.com/track/7ouMYWpwJ422jRcDASZB7P","0lw68yx3MhKflWFqCsGkIs","12Chz98pHFMPJEknJQMWvI"
"4VqPOruhp5EdPBeR92t6lQ","Uprising","79","false","https://open.spotify.com/track/4VqPOruhp5EdPBeR92t6lQ","0eFHYz8NmK75zSplL5qlfM","12Chz98pHFMPJEknJQMWvI"
"2takcwOaAZWiXQijPHIx7B","Time is Running Out","57","false","https://open.spotify.com/track/2takcwOaAZWiXQijPHIx7B","0HcHPBu9aaF1MxOiZmUQTl","12Chz98pHFMPJEknJQMWvI"
"5Ravsw8TmHN5wBiYPPYUFw","Right Now (Na Na Na)","80","false","https://open.spotify.com/track/5Ravsw8TmHN5wBiYPPYUFw","1Z5oeufZDMMzL8ZlWTZrQg","0z4gvV4rjIZ9wHck67ucSV"
"3hlksXnvbKogFdPbpO9vel","Super Bass","84","true","https://open.spotify.com/track/3hlksXnvbKogFdPbpO9vel","7aADdYLiK1z7GlMFr0UIZw","0hCNtLu0JehylgoiP8L4Gh"
"4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","93","true","https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK","7M842DMhYVALrXsw3ty7B3","1Cs0zKBU1kc0i8ypK3B9ai 64M6ah0SkkRsnPGtGiRAbb"
"6ocbgoVGwYJhOv1GgI9NsF","7 rings","87","true","https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","2fYhqwDWXjbpjaIJPEfKFw","66CXWjxzNUsdJxJ2JdwvnR"
"1vELwZM3uBYWd8HrtddD4l","Bella","66","false","https://open.spotify.com/track/1vELwZM3uBYWd8HrtddD4l","5EU9LqPsBwrhq4Iqx0xMVd","0GOx72r5AAEKRGQFn3xqXK"
"3Uyt0WO3wOopnUBCe9BaXl","Sur ma route","64","false","https://open.spotify.com/track/3Uyt0WO3wOopnUBCe9BaXl","1D2Rs9qcENebbiDR5wk88T","7lMgpN1tEBQKpRoUMKB8iw"
"1XGmzt0PVuFgQYYnV2It7A","Payphone","86","true","https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A","6ijGiBcBfUwkoyHn5VUHU2","04gDigrS5kc9YWfZHwBETP 137W8MRPWKqSmrBGDBFSop"
"2JzZzZUQj3Qff7wapcbKjc","See You Again (feat. Charlie Puth)","85","false","https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc","5FXIqS1XqbpfOKNoi5VUwS","137W8MRPWKqSmrBGDBFSop 6VuMaDnrHyPL1p4EHjYLi7"
"56oGoEjA9eTZYgsttEFKY3","The Thrill","78","true","https://open.spotify.com/track/56oGoEjA9eTZYgsttEFKY3","4NtEHyzC02jvTLMERHn6Rw","137W8MRPWKqSmrBGDBFSop 67hb7towEyKvt5Z8Bx306c"
